OP_CARRIER_AIRLINE_ID,Description
19393,Southwest Airlines Co.: WN
19690,Hawaiian Airlines Inc.: HA
19790,Delta Air Lines Inc.: DL
19805,American Airlines Inc.: AA
19930,Alaska Airlines Inc.: AS
19977,United Air Lines Inc.: UA
20304,SkyWest Airlines Inc.: OO
20363,Endeavor Air Inc.: 9E
20368,Allegiant Air: G4
20397,PSA Airlines Inc.: OH
20398,Envoy Air: MQ
20409,JetBlue Airways: B6
20416,Spirit Air Lines: NK
20436,Frontier Airlines Inc.: F9
20452,Republic Airline: YX
