CITY_MARKET,AIRPORT,AIRPORT_ID,Description
34783,SGF,14783,"Springfield, MO"
33485,MSN,13485,"Madison, WI"
33795,OAJ,13795,"Jacksonville/Camp Lejeune, NC"
31648,FCA,11648,"Kalispell, MT"
31953,GNV,11953,"Gainesville, FL"
31637,FAR,11637,"Fargo, ND"
31775,FSD,11775,"Sioux Falls, SD"
32441,JAC,12441,"Jackson, WY"
31252,DAB,11252,"Daytona Beach, FL"
31973,GPT,11973,"Gulfport/Biloxi, MS"
30868,CAE,10868,"Columbia, SC"
31517,FAI,11630,"Fairbanks, AK"
33360,MLB,13360,"Melbourne, FL"
31003,CID,11003,"Cedar Rapids/Iowa City, IA"
31977,GRB,11977,"Green Bay, WI"
34252,PSC,14252,"Pasco/Kennewick/Richland, WA"
30562,MOB,13422,"Mobile, AL"
30434,AVP,10434,"Scranton/Wilkes-Barre, PA"
34236,SBP,14698,"Paso Robles/San Luis Obispo, CA"
31503,EGE,11503,"Eagle, CO"
34433,STS,15023,"Santa Rosa, CA"
33256,MFE,13256,"Mission/McAllen/Edinburg, TX"
34922,MRY,13476,"Salinas/Monterey, CA"
30561,BFL,10561,"Bakersfield, CA"
34489,RDM,14489,"Bend/Redmond, OR"
32523,JNU,12523,"Juneau, AK"
30070,ADQ,10170,"Kodiak, AK"
32891,LAW,12891,"Lawton/Fort Sill, OK"
35411,TYR,15411,"Tyler, TX"
33264,MFR,13264,"Medford, OR"
32280,IDA,12280,"Idaho Falls, ID"
34674,SAF,14674,"Santa Fe, NM"
30285,DRO,11413,"Durango, CO"
31695,FLG,11695,"Flagstaff, AZ"
30185,AEX,10185,"Alexandria, LA"
31980,GRI,11980,"Grand Island, NE"
31921,GJT,11921,"Grand Junction, CO"
33785,YUM,16218,"Yuma, AZ"
34794,SGU,14794,"St. George, UT"
34588,ROW,14588,"Roswell, NM"
34696,SBN,14696,"South Bend, IN"
30155,ACT,10155,"Waco, TX"
32547,RST,14633,"Rochester, MN"
30728,BPT,10728,"Beaumont/Port Arthur, TX"
30469,AZO,10469,"Kalamazoo, MI"
33127,LWS,13127,"Lewiston, ID"
33184,MBS,13184,"Saginaw/Bay City/Midland, MI"
33304,MOT,13433,"Minot, ND"
35389,TWF,15389,"Twin Falls, ID"
31898,GFK,11898,"Grand Forks, ND"
34113,PIH,14113,"Pocatello, ID"
31895,GTF,12003,"Great Falls, MT"
32156,HLN,12156,"Helena, MT"
31337,DLH,11337,"Duluth, MN"
31823,FWA,11823,"Fort Wayne, IN"
31537,ELM,11537,"Elmira/Corning, NY"
32884,LAN,12884,"Lansing, MI"
31612,EVV,11612,"Evansville, IN"
34457,RAP,14457,"Rapid City, SD"
35041,SUN,15041,"Sun Valley/Hailey/Ketchum, ID"
31146,CRW,11146,"Charleston/Dunbar, WV"
30372,ASE,10372,"Aspen, CO"
33277,MGM,13277,"Montgomery, AL"
30731,BQK,10731,"Brunswick, GA"
30146,ABY,10146,"Albany, GA"
32129,HIB,12129,"Hibbing, MN"
31013,CIU,11013,"Sault Ste. Marie, MI"
30141,ABR,10141,"Aberdeen, SD"
31587,ESC,11587,"Escanaba, MI"
32343,INL,12343,"International Falls, MN"
34520,RHI,14520,"Rhinelander, WI"
32389,XWA,16869,"Williston, ND"
32335,IMT,12335,"Iron Mountain/Kingsfd, MI"
30918,CDC,10918,"Cedar City, UT"
30631,BJI,10631,"Bemidji, MN"
31525,EKO,11525,"Elko, NV"
34150,PLN,14150,"Pellston, MI"
30779,BTM,10779,"Butte, MT"
30747,BRO,10747,"Brownsville, TX"
31982,GRK,11982,"Killeen, TX"
31205,LCH,12915,"Lake Charles, LA"
34960,SPS,14960,"Wichita Falls, TX"
31049,CLL,11049,"College Station/Bryan, TX"
31778,FSM,11778,"Fort Smith, AR"
35401,TXK,15401,"Texarkana, AR"
31288,DEC,11288,"Decatur, IL"
32511,JLN,12511,"Joplin, MO"
30476,SHV,14814,"Shreveport, LA"
34842,SJT,14842,"San Angelo, TX"
35074,SWO,15074,"Stillwater, OK"
33459,MQT,13459,"Marquette, MI"
31150,CSG,11150,"Columbus, GA"
30424,CWA,11203,"Wausau/Mosinee/Stevens Point, WI"
33367,MLI,13367,"Quad Cities, IL (Metropolitan Area)"
30894,GTR,12007,"Columbus, MS"
32951,LFT,12951,"Lafayette, LA"
30135,ABE,10135,"Allentown/Bethlehem/Easton, PA"
35550,VLD,15607,"Valdosta, GA"
32397,ITH,12397,"Ithaca/Cortland, NY"
30208,AGS,10208,"Augusta, GA"
31308,DHN,11308,"Dothan, AL"
30581,BGR,10581,"Bangor, ME"
30685,BMI,10685,"Bloomington/Normal, IL"
